Move,History (PGN),Commentary,Eval Before,Eval After,Delta,Top K Best Moves
Rc8,e4 e6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Nf3 Ngf6 Ng3 c5 c3 b6 Be2 Bb7 O-O,Tc8 pour pouvoir : — reprendre le pion c avec la Tour — Placer le Fou en b8 puis créer une menace avec Dc7 ou Dd6 — pouvoir faire migrer la T vers l'aile roi,17,-13,-30.0,"f3e5, c5d4"
g6,e4 c5 Nf3,Steve plays the Hyper Accelerated Dragon,-36,39,75.0,"d2d4, c5d4"
Bf4,d4 g6 c4 Bg7 e4 d6 Nc3 Nf6 Be2 c5 d5 Nbd7 Nf3 O-O O-O a6 a4 Rb8 Qc2 h6 Re1 Ne8 Bf1 Nc7 a5 Kh7,"!? I only wanted to connect the rooks. Be3 blocks my rook, Bd2 looks ok but doesn't support e4-e5 pawn push.",144,-142,-286.0,"b7b5, a5b6"
Rf8+,e4 e5 Bc4 Nf6 Qf3 Bc5 d3 d5 Bf4 Nxe4 Bg3 Nxg3 Qxf7+ Kxf7 Bxd5+ Ke7 Nc3 Ne4 Kd1 Nxf2+ Ke2 Nxh1 Nb5 Ng3+ Kf3 Nh5 Nh3 Bxh3 gxh3,Check,Mate,-1256,,"d5f7, f8f7, f3e2"
f3,d4 f5 c4 g6 Nc3 Nh6 e4 fxe4 Nxe4 Bg7 Nf3 c6 Bd3 d5 cxd5 cxd5 Bb5+ Nc6 Bxc6+ bxc6 Nc5 O-O O-O Rb8 Re1 Bg4 Ne6 Bxe6 Rxe6 Rxf3 Qxf3 Nf5 Re1 Nxd4 Qd1 e5 b3 Qd6 Be3 c5,"White makes room for the bishop and stepping out of the way of the rook. This gives us time to push in king side. [%cal Ge3f2,Re1e5,Gh7h5]",54,-43,-97.0,"h7h5, a1c1, g8h7"
Qc6,Nf3 d5 g3 e6 Bg2 Nf6 O-O Nc6 d4 h6 c4 dxc4 Nc3 a6 a4 Bd7 e4 Bb4 Qe2 Na5 Ne5 Nb3 Qxc4 Nxa1 Qxb4 Nc2 Qc4 O-O Nxd7 Qxd7 Ne2 Na1 Bf4 b5 Qc3 bxa4 Rxa1 Rab8 Bh3 Nxe4 Qc2 Nd6 Rxa4 Ne4 Rxa6 Nd6 Ra5 Nb5 Qd2,After Qd2 I saw that exchange Bxh6 but was hesitant.I decided to bring the bishop in g2 diagonal aiming Be5 latter in the game,-280,296,576.0,"h3g2, c6c4, a5a1"
Kg3,d4 d5 Nf3 Nf6 Bf4 Bf5 e3 e6 Bd3 Bd6 Ne5 Bxe5 dxe5 Ne4 Nd2 O-O h3 h6 Qe2 Nxd2 Qxd2 Bxd3 cxd3 c5 O-O Nc6 a3 Qc7 Rac1 b6 b4 Nxe5 d4 Nc4 Rxc4 Qxf4 exf4 dxc4 bxc5 bxc5 dxc5 Rac8 Qb4 Rc7 Rc1 Rfc8 Rxc4 Rc7c6 Kh2 a6,,618,-613,-1231.0,"c8d8, g3h2, g7g6"
Bc4,e4 c5 c3 Nf6 e5 Nd5 d4 cxd4 cxd4 d6 Nf3 Nc6,His bishop comes out.,16,-16,-32.0,"d5b6, c4b5, d6e5"
Bxf7+,d4 a5 e3 d5 Nf3 f6 Nc3 c6 Bd3 Nh6 Bd2 e6 O-O Qb6 Na4 Qc7 e4 Bd6 exd5 Ng4 g3 O-O dxe6 Bxe6 Nc5 Bxc5 dxc5 Nd7 Nd4 Bd5 Qxg4 Ne5 Qf4 Qf7 Be4 Bc4 Rfe1 Rad8 Nf5 g6 Nd6 Rxd6 cxd6 Qd7 Bxa5 Qxd6 b3 Be6 Rad1 Qa3 Bc3 Qc5 Bd3 Qxc3 Re3 f5 Bc4 Qxc2 Bxe6+ Nf7,Initiating a bishop-knight exchange to remove protection for the king.,892,-850,-1742.0,"f8f7, f4d4, c2d1"
Qd4,d4 e6 e3 d5 Nf3 f6 Bb5+ c6 Bd3 Nd7 Nc3 b5 O-O b4 Ne2 c5 dxc5 Nxc5 Ned4 Bb7 Bd2 a5 Bb5+ Kf7 c3 Ne7 cxb4 axb4 Bxb4 Qb6 Bxc5 Qxc5 Qe2 e5 Nb3 Qb6 Bd3 g5 e4 d4 Nfd2 Bh6 Nc4 Qc7 Qh5+ Kg7 Rac1 Rxa2 Nca5 Qb6 Bc4 Rf8 Nxb7 Qxb7 Nc5 Qc6 Ne6+ Kh8 Nxf8 Bxf8 Bxa2 Qxe4 Rc8 Nxc8 Qe8 Kg7 Qxc8 d3 Qd7+ Kh6 Bd5 Qd4 Qh3+ Kg7 Qe6 Kh6 Qxf6+ Kh5 Bf3+ g4 Bxg4+ Qxg4 Qxf8 d2 Qd6 Qe2 Qd7 Qe1 Qxh7+ Kg5 h4+ Kf6 Qh6+ Ke7 Qe3 Qxf1+ Kxf1 d1=Q+ Qe1,I think black wants my pawn on h4 here.,-458,458,916.0,"e1e2, d4h4, e2e5"
O-O,Nf3 Nc6 g3 d5 e3 Nf6 Bg2 e5,Arthur has his first River Dance lesson.,-72,121,193.0,e5e4
d4,,Queens pawn opening.,,-17,,"d7d5, c2c4"
d5,b4 e5 Bb2 Bxb4 Bxe5 Nf6 c3 Be7 d4 h6 Nf3,Attempting to gain some ground on my own.,21,-12,-33.0,"e2e3, e8g8, d1c2"
e3,d4 d5 c4 c6 Nf3 Nf6,"Sistema abbastanza di moda contro la Slava, che può originarsi oltretutto anche da un Sistema Colle Alternative variation: 4.Nc3 [mi avrebbe portato nelle varianti più teorizzate di Slava e/o Semi-Slava]",42,-28,-70.0,"c8f5, b1c3"
d3,e4 e5 c4 c5 Be2 Be7 Nf3 Nc6 O-O Nf6 Na3 O-O,Pawn,-23,23,46.0,"a7a6, b2b3"
Qd2,e4 c5 Bc4 e6 d3 Nc6 c3 Nf6 Be3 d5 exd5 exd5 Bb3 Bd6 Nf3 h6 Nbd2 O-O d4 c4 Bc2 Re8 O-O a6 b3 b5 Nh4 Qc7 Ndf3 Bg4,White responds and setups cross board attack of his own which was a surprising development,-109,274,383.0,"f6e4, d2e1, g7g5"
Qf6+,e4 e5 f4 exf4 Bc4 b5 Bxb5 Qh4+ Kf1 Nf6 Nf3 Qh6 d3 Nh5 Nh4 c6 Nf5 Qg5 g4 Nf6 Rg1 cxb5 h4 Qg6 h5 Qg5 Qf3 Ng8 Bxf4 Qf6 Nc3 Bc5 Nd5 Qxb2 Bd6 Bxg1 e5 Qxa1+ Ke2 Na6 Nxg7+ Kd8,!!,Mate,Mate,,"g8f6, d6e7"
c6,d4 d5 Nf3 Bf5 g3 e6 Bg2 Nf6 O-O Nc6 c3 Bd6 Bg5 h6 Bxf6 Qxf6 Nbd2 g5 Re1 Be4 e3 Bxf3 Bxf3 h5 e4 g4 Bg2 Be7 exd5 exd5 Bxd5 O-O-O Bg2 Kb8 b4 h4 b5 hxg3 hxg3 Nxd4 cxd4 Rxd4 Qe2 Bb4 Ne4 Qb6 Red1 Rhd8 a3 Be7 Nc3 Bf6 Nd5 Qd6 Rxd4 Bxd4 Rd1 Qc5 Ne3 Qe5 Qxg4 f5 Qf3,???,-472,571,1043.0,"b5c6, e5e4, f3e4"
Qc7,Nf3 Nf6 d4 d5 c4 dxc4 e3 c5 Bxc4 cxd4 O-O e6 exd4 Be7 Nc3 O-O Bf4 Nc6 Re1 h6 Qd2 Nh5 Be3 a6 Bb3 b5 Bxh6 gxh6 Qxh6 Ng7 Rad1 Nf5 Qh3 Bf6 d5 exd5 Rxd5,,-474,600,1074.0,"d5f5, c8f5, h3f5"
Bc4,e4 c5 Bc4 e6 d3 Nc6 c3 Nf6 Qf3 g6 Bg5 Bg7 Na3 O-O O-O-O Qe7 Nh3 b6 d4 cxd4 cxd4 e5 d5 Nb4 d6 Qd8 Qb3 a5 Nb5 Ba6 Nc7 Ra7 Be3 Rb7 Bxa6 Rxc7+ Kb1 Ra7,Equal!,100,-105,-205.0,"f6e4, a2a3"
Be3,e4 c5 c3 Nf6 d3 g6 Nf3 Bg7,Black defends.,-21,20,41.0,"d7d6, f1e2"
e5,e4,Normal,-23,24,47.0,"g1f3, b8c6, f1b5"
f4,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Bc4 c5 Ne2 O-O O-O Qc7 d5 Nd7,Keeping the Nd7 out of e5. Bf4 or Rb1 has been played in this position previously.,56,8,-48.0,"d7b6, c4b3"
Nc6,e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 exd6 h3 Bf5 Nf3 Be7 Nc3 O-O Be2 Bf6 O-O Re8 Be3 Nc6 b3 Bg6 Rc1 Ne7 g4 h6 h4,"My alternative was Qd7, eyeing the g4-square and sacrificing the Bishop, but didn't see any gain from such manoeuvre.",-35,34,69.0,"h4h5, g6e4, d4d5"
O-O,e4 e5 Nf3 Nc6 Bb5 d6 d4 Bd7 Nc3 Nf6 O-O Be7 Re1 Nxd4 Nxd4 exd4 Bxd7+ Qxd7 Qxd4,Black's two remaining weaknesses are his Bishop and his inferior center.,-29,28,57.0,"h2h3, f8e8"
Qe3,d4 Nf6 c4 e6 Nc3 c5 d5 exd5 cxd5 d6 Nf3 g6 e4 Bg7 Bg5 O-O Bd3 a6 a4 Qe8 O-O Bg4 h3 Bxf3 Qxf3 Nbd7 Qe3 Rb8 Bh6 Bxh6 Qxh6 Qe5,White has lost a tempo.,26,-2,-28.0,"e5d4, f1e1"
d6,d4 Nf6 Bf4 c5 e3 Nd5 Bg3 Qb6 b3 cxd4 exd4 g6 Be5 Nf6 Nf3 Bg7 c3 O-O Be2,! Black gains tempo,42,-49,-91.0,e5f6
Nb5,d4 d5 Nc3 Bf5 Bf4 f6,Attacking the Q side.,116,-33,-149.0,"b8a6, e2e3, c7c6"
bxc3,e3 e5 Nc3 d6 e4 Nf6 d3 c6 h3 Be7 g4 d5 exd5 Nxd5 Ne4 O-O Nf3 f5 gxf5 Bxf5 Ng3 Bg6 Nxe5 Be8 Bg2 Nf4 Bxf4 Rxf4 Qd2 Bg5 Qc3 Qb6 O-O Bf6 Nh5 Bxh5 Rae1 Nd7 Nxd7 Bxc3 Nxb6 axb6,"I keep misplaying thing, must be a focus thing, I don't know, but my opponent was playing generally stronger than me. In a sense, that is the one psychological advantage I had: we both knew he was stronger, so it was easier to underestimate the pieces that were left. I would have done exactly the same or worse in my opponent's situation.",-13,6,19.0,a8a2
d4,,"I was playing for Sheffield University 2 in the BUCA (British University Chess Association). I can't find out much more about my opponent. He seems to have played in the British Under 18s in 1974. He doesn't seem to be still playing. This BUCA tournament was held in Edinburgh. I think it is the only time I played in it, I think the other years Sheffield University only enter one team, who actually won it a year later in 1977. This is from round 4 and the only game I still have from the event. I scored 2.5 out of 5 overall.",,-24,,g8f6
c3,d4 Nf6 Bf4 c5 e3 Nd5 Bg3 Qb6 b3 cxd4 exd4 g6 Be5 Nf6 Nf3 Bg7,A rather poor move for White at this mid stage of the opening. Better is 9. Be2 10. 0-0,-49,47,96.0,e8g8
Bd2,e4 c5 Nf3 d6 c3 Nf6 Be2 Nc6 d4 cxd4 cxd4 Nxe4 d5 Qa5+ Nc3 Nb4 Bb5+ Bd7 Bxd7+ Kxd7 Nxe4 Nc2+ Ke2 Nxa1 Nc3 g6 Qd3 Bg7,Preparing to win the knight. White is only slightly better after 15... Nc2 16. Qxc2 Rhc8 17. Qb3 Qa6+.,62,-79,-141.0,g7c3
Nf3,e4 e5 Nf3 Nc6 Bb5 Bc5 O-O a6 Bxc6 dxc6 Nxe5 f6 Qh5+ g6 Nxg6 hxg6 Qxh8 Be6 e5 Qd4 exf6 O-O-O c3 Qd3 Qh4 Bc4 Qg4+ Kb8 Qd1 Qf5 d4 Bxf1 Qxf1 Bd6 Nd2 Nxf6,Slightly more development.,229,-234,-463.0,"d8g8, c1g5, f6e4"
Nf3,e4 Nf6 Nc3 e5,"And go for the Spanish, which I'm more comfortable with",17,-12,-29.0,b8c6
Qxc6+,d4 d5 e3 e6 Nf3 Nf6 Nc3 b6 Bb5+ c6 Bd3 Ng4 Ne5 h5 Nxg4 hxg4 Qxg4 f5 Qe2 Qg5 g3 e5 dxe5 Bc5 e4 Qg6 exf5 Qh7 f6 Qh3 Bg6+ Kd8 fxg7 Rg8 Bg5+ Kc7 Bf6 Qg2 Rf1 Ba6 Bd3 Bc4 Bxc4 dxc4 Qxc4 Nd7 b4 Bxb4 Qxb4 a5 Qd6+ Kc8 f3 Nc5,Claiming another free pawn.,Mate,Mate,,"c8b8, c6b6, c5b7"
a6,d4 Nf6 c4 e6 Nf3 c6 Nc3 d6 e4 Be7 Bd3 Nbd7 O-O e5 d5 c5 a3 O-O b4,?,-110,132,242.0,"c1e3, g7g6, e3h6"
Bd5,Nf3 d5 d4 Nf6 c4 dxc4 e3 b5 a4 b4 Bxc4 e6 O-O Bb7 Nbd2 Be7 a5 O-O a6,White to play.,-117,138,255.0,"c4d3, c7c5, e3e4"
Bf5,d4 c5 c3 d5 Bf4 Nf6 Nf3,I wanted to get my light-squared bishop out of the pawn chain before i developed my dark-squared bishop. I don't want to funky bishops at the same time.,-5,49,54.0,"d4c5, b8d7"
Nf5,e4 e5 Nc3 Nc6 f4 exf4 Nf3 d6 d4 Nf6 Bxf4 Bg4 Bb5 a6 Be2 Bc8 O-O Be7 d5 Nb8 b4 O-O Qe1 b5 Nd4 Ng4 Nd1 Bf6 c3 Ne5 Ne3 Qe8 Bg3 Bg5 Bd1 Nbd7 Bc2 Bf6 Ndf5 Qd8 Qe2 Nb6 Nd4 Bg5 Bxe5 Bxe3+ Qxe3 Nc4 Qg3 Nxe5,[Pffff] [26.a4 Was weer beter...],29,96,67.0,"c8f5, e4f5"
dxc3,e4 e6 d4 d5 Nc3 Bb4 e5 c5 a3 cxd4 axb4,He takes back.,-115,106,221.0,"d1g4, c3b2"
Re1#,Nf3 Nc6 Nc3 e5 e4 Nf6 Bb5 d6 d4 exd4 Nxd4 Bd7 Bxc6 bxc6 Bg5 Be7 Qf3 O-O O-O-O Bg4 Qg3 Bxd1 Nxd1 Nxe4 Bxe7 Nxg3 Bxd8 Raxd8 hxg3 c5 Nc6 Rde8 Nxa7 d5 a3 Re6 Nb5 c6 Nc7 Re5 Ne3 f5 Rh5 d4 Nc4 Re2 f4 Rxg2 Rh3 Rc8 Ne6 Re8 Nxc5,"mylaguna played super well, however his endgame technique let him down.",Mate,Mate,,
Be6,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Nxf6+ exf6 Nf3 Bd6 Bd3 O-O O-O Re8 Re1,"GE had white +0.38 after white's move and +0.01 after black's so very small white advantage has stabilised my recollection is that Bg4 used to be popular here but I think your Be6 strategy would be more logical but that can wait (as can e.g. Nd7, Bc7) so 8....Re8 and 9.....Be6 seems most logical to me -",-12,40,52.0,"c2c4, b8d7"
Re8,e4 c5 Nc3 Nc6 Nf3 d6 h3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 a6 Be3 b5 Qd2,This is the one move that allowed me to move in the horse later on.,20,1,-19.0,"e3h6, a8b8, c3d5"
O-O,e4 c6 Nf3 d5 e5 Bg4 Be2 e6 Nc3 Nd7,"I prefer not to exchange the knight for a bishop, but an extra pawn is an extra pawn.",-59,193,252.0,"g4f3, e2f3, d7e5"
Bxa5,d4 a5 e3 d5 Nf3 f6 Nc3 c6 Bd3 Nh6 Bd2 e6 O-O Qb6 Na4 Qc7 e4 Bd6 exd5 Ng4 g3 O-O dxe6 Bxe6 Nc5 Bxc5 dxc5 Nd7 Nd4 Bd5 Qxg4 Ne5 Qf4 Qf7 Be4 Bc4 Rfe1 Rad8 Nf5 g6 Nd6 Rxd6 cxd6 Qd7,"Now that I'm so far ahead, I'm just trying to get rid of as many black pieces as possible; here we technically exchange pawns.",662,-667,-1329.0,"h7h6, a5c3, g6g5"
Nc6,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Bd3,Pressurizing the d4 knight seemed a good start.,0,-5,-5.0,c2c3
f5+,e3 e5 Nc3 d6 e4 Nf6 d3 c6 h3 Be7 g4 d5 exd5 Nxd5 Ne4 O-O Nf3 f5 gxf5 Bxf5 Ng3 Bg6 Nxe5 Be8 Bg2 Nf4 Bxf4 Rxf4 Qd2 Bg5 Qc3 Qb6 O-O Bf6 Nh5 Bxh5 Rae1 Nd7 Nxd7 Bxc3 Nxb6 axb6 bxc3 Rxa2 Rec1 Kf7 d4 Bf3 Bxf3 Rxf3 Kg2 Rxc3 Rcb1 b5 Rb3 Rcxc2 Rf3+ Ke6 h4 Rcd2 Rf4 Rde2 h5 h6 Kg3 Rad2 Kf3 b4 Re4+ Rxe4 Kxe4 b3 f4 b2,"The rook probably needed to go block the pawn, even though as we learned from Tarrasch, blocking from the front is not as good as blocking from the back. My opponent could have blocked it, but then we got to square one, namely a passive rook, so the choices are difficult. I saw that his pawn is easily blockaded and he probably did too, but sometimes good choices are not available, I know how it is.",-489,485,974.0,"e6d6, f1b1, b7b5"
d6,e4 c6 d4,...and then deviates into a hedgehog-type position. I'm pretty comfortable with the type of game this usually leads to.,-32,76,108.0,"c2c3, e7e5, f1d3"
Nh5,e4 e5 Nf3 Nc6 c3 Nf6 d3 Bc5 h3 d6 Be2 a6 Bg5 O-O b4 Ba7 Na3 Be6 Nc2 h6 Be3 Bxe3 Nxe3 Ne7 Qc2 Qd7 Nf1 Kh8 Ne3 Rfg8 Nh2 g5 Nhg4 Rg6 f3,It looks like he did that to over protect his pawn. but he opened up a great square for my knight. He always wanted to be an outpost.,14,-5,-19.0,d3d4
e5,d4 d5 c4 c6 Nf3 Nf6 Nc3 g6 Bf4 Bg7 e3 O-O Qb3 dxc4 Bxc4 Nbd7 Ne5 Qe8 Be2 Nxe5 Bxe5 Qd8 O-O Qb6 Qa3 Re8 Rac1 Bf8 Na4 Qd8 Rfd1 Nd5 e4 e6 Qf3 Nb6 Nc5 Nd7 Nxd7 Bxd7 Bf6 Qa5 Rc5 Qxa2 Rh5,Black has nothing better.,-76,180,256.0,"d4e5, d7e6"
Nc6,c4 Nf6 Nc3 c5 g3 Nc6 Bg2 e6 Nf3 Be7 d4 d5 cxd5 Nxd5 O-O O-O Nxd5 exd5 dxc5 Bxc5 a3 a5 Ne1 d4 Nd3 Bb6 Bd2 Re8 Rc1 Bg4 Re1 Rc8 h3 Bf5 Qb3 Be4 Bxe4 Rxe4 Qb5 Na7 Rxc8 Nxc8 Bg5 Qd6 Rc1 Na7 Qf5 Re8 Bf4 Qd8 Rc2 Nc6 h4 h6 Qb5 Na7 Qf5,"Do not be over-hasty. Tigran Petrosian World champion 63-69 was considered a master of prophylaxis. However, it is not always good to be subordinating to your advisory. Petrosian Knew he held an advantage. It would benefit White's position if he could exchange his Biship-f4 for the Knight-c6.",-62,57,119.0,"g1f1, e8e6"
Nc5,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Bd7 Be2 Qb6 O-O cxd4 cxd4 Nge7 g4 Ng6 Nc3 a6 Na4 Qa7 Be3 Rc8 Rc1 b5,"Nemen op c5 lijkt nu voor Herman niet de beste optie, … Lc5 15. Txc5 Pa5 16 Txc8 Lxc8 17. h4 h5 met toch wel prettig spel voor wit. Dus doet Herman",159,-154,-313.0,"f8e7, d1d2"
e3#,e4 c6 d4 d6 c4 a6 Nc3 b5 f4 e6 Nf3 b4 Na4 d5 e5 dxc4 Bxc4 Ne7 O-O Nd5 Qe1 Qa5 b3 Qc7 Qg3 Nd7 Nh4 Nd7b6 Nb2 Nc3 Bd2 Nxc4 Bxc3 Nxe5 fxe5 bxc3 Qxc3 Qb6 Nc4 Qd8 Nf3 Bd7 Rf2 Be7 Na5 Qb6 Nc4 Qc7 Raf1 O-O Qe3 c5 h4 cxd4 Qe4 Bc6 Qd3 Bd5 Nd6 Bxf3 Rf2xf3 Bxd6 exd6 Qxd6 Qe4 Rac8 h5 Qc5 h6 g6 Qf4 f5 Re1 Kf7 Rd3 Rfe8 Re5 Qc1+ Qxc1 Rxc1+ Kh2 Rd8 Ra5 Rd6 Ra4 e5 Rb4 Rdc6 Rb7+ Rc6c7 Rb6 Rc1c6 Rb8 Kf6 Rg3 e4 Rf8+ Rf7 Rd8 d3 Kh3 g5 Re3 Ke5 g4 Rxh6+ Kg2 Kf4 Rg3 Rc6 gxf5 g4 Kh2 Rxf5 Rg2 Rh5+ Kg1 Rc1+ Kf2,"The e pawn led by that d3 pawn put the dagger in the heart of the king. It was a fierce and great play from white. White was very courageous, its strategy was to bombard the kings castled position with force which was very valid but was few steps behind due to the slow development of its officers at the beginning. The awkward start-up of black and its pawns position at the beginning became an advantage which made it difficult for white to land its officers close by and in turn helped black into the game and eventually seizing the centre for a effective overrun of white in the middle game.",Mate,Mate,,
Rc8,Nf3 d6 d4 f5 g3 Nf6 Bg2 g6 O-O Bg7 b3 O-O Bb2 Ne4 Nbd2 c5 c4 Nc6 e3 e6 a3 d5 Qc2 cxd4 exd4 Bd7 Rad1,Black lines up the rook against my queen.,-7,3,10.0,f3e5
Rxf4,e4 c5 Nf3 g6 c4 Nc6 Nc3 Bg7 Rb1 a6 Be2 d6 O-O Nf6 d3 O-O Nd5 Ng4 h3 Nge5 a3 f5 Nxe5 Nxe5 g3 fxe4 dxe4 Bxh3 Re1 e6 Nf4,"Black opts to swap rook for knight instead. This move struck me as a mistake. While the king's castle is breached, white's position isn't quite that bad so long as he doesn't play 17. gxf4.",-273,261,534.0,"c1f4, e5f7, f4e3"
Nd7,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Qxd7 O-O Nc6 d4 cxd4 Nxd4 Nf6 Nc3 g6 f4 Bg7 Nxc6 Qxc6 e5 dxe5 fxe5,"Two pieces attack e5; none defend. Surely the e-pawn is lost, and with it, White's centre.",124,-124,-248.0,"c1f4, c6c5"
c5,b3 e5 Bb2 Nc6 e3 d5 c4 Nf6 d3 Bb4+ Nd2 O-O a3 Bxd2+ Qxd2 Be6 Nf3 e4 Nd4 Nxd4 Bxd4 b6 Be2 exd3 Qxd3 dxc4 bxc4 Qd7 O-O Rfd8 Bf3 Rab8 Rfe1,The bishop can't move because the queen will be captured,424,-425,-849.0,"a1d1, c5d4, e3d4"
Be3,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nd7 Bc4 Ngf6 Ng3 Nb6 Bb3 Bg4 Nf3 e6 c3 Qc7 h3 Bxf3 Qxf3 Bd6 Bg5 Nbd7 O-O h6 Bd2 O-O Rae1 Rfe8 Re2 c5 dxc5 Bxc5 Rfe1 Qb6 Ne4 Nxe4 Re2xe4 Nf6 Re4e2 Rad8 Bxh6 Bf8 Bg5 Be7 Ba4 Nd7,Time: 12 min 10 secs,254,-212,-466.0,"b6a6, a4c2, b7b6"
Kh2,Nf3 Nc6 g3 d5 Bg2 e5 d3 h6 Nbd2 Bc5 h3 Bd7 O-O Qc8,"Note that if white went another move, and allowed Bxh3, the follow-up could be like 8. ... Bxh3 9. g4 Bxg7 10. Kxg7, leaving black a pawn up. On the other hand, if white went g4 immediately, the kingside would be slightly more exposed with the dangerous h2-b8 diagonal open to attack.",58,-11,-69.0,"g8f6, c2c4, d5d4"
Bc5,e4 e5 Nf3 Nc6 Bb5 Nf6 O-O a6 Bxc6 dxc6 Nxe5 Nxe4 Qf3 Nd6 Re1 Be7 b3 O-O Bb2 Re8 d3 Bf8 Nd2 f6 Nec4 Re7 Ne4 Nxe4 Rxe4 Rxe4 dxe4 b5 Ne3,A good place for the bishop (aiming at the white king),-25,147,172.0,"e4e5, c5e3, f3e3"
Be7,d4 d5 c4 c6 Nc3 Nf6 Nf3 e6 c5,"Instead of Nbd7, I have in mind to play Ne4.",43,5,-38.0,"c1f4, b7b6, b2b4"
Bf5,c4 e6 d4 f5 g3 Nf6 Bg2 Be7 Nf3 O-O O-O d6 Nbd2 a5 b3 Qe8 Re1 Nc6 Bb2 Qg6 Rc1 f4 gxf4 Nh5 e3 Rxf4 Kh1 Rf7 a3 Bd7 Rg1 Raf8 Bh3 Qh6 d5 Nd8 Bc3 Nf4 Bf1 Ng6 Bxa5 b6 Bc3 e5 Bd3 Nh4 Be2 Nxf3 Nxf3,Minacciando 26...Ae4.,191,-188,-379.0,f3d2
Qxa1,d4 Nf6 Nf3 g6 c4 d5 c5 Bg7 Nc3 c6 b4 a6 a4 O-O Bf4 Nbd7 b5 axb5 axb5 Rxa1,"The queen now has control of the a file, and is contesting the long diagonal. He is on the way to having a spatial advantage on the queen side, but to compensate, black has developed a solid defense on the king side.",-171,190,361.0,f6e4
g5,e4 e5 c4 c5 Be2 Be7 Nf3 Nc6 O-O Nf6 Na3 O-O d3 d6 g4,Pawn,285,-7,-292.0,"f3g5, f6g4"
e3,d4 Nf6 c4 e6 a3 c5,good enough but I expected him to play 3. d5 where white gets a small but enduring advantage. Though the resulting position after 3. d5 g6 4. Nc3 Bg7 5. Nf3 exd5 6. cxd5 is unclear and favors the tactical player.,20,-5,-25.0,"d7d5, g1f3, c5d4"
Rd8,d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 e3 h6 Bh4 Ne4 Bxe7 Qxe7 Nxe4 dxe4 Qd2 O-O Ne2,A fairly logical place to put the rook.,7,-4,-11.0,"e2c3, c7c5, e1c1"
d4,,"I went for either King's Indian or Nimzo-Indian (After knight to f6 I think either Nimzo or King Indian Automatically. I had used the King's Indian last time and thought this time use the otherwise well known ""Nimzo-Indian Attack"" which is not listed here as a ""chess opening!"" I wonder why? The next moves are pretty automatic for white but somewhere in the next few moves I realized he had no idea what the Nimzo Indian Attack was with the White Queen open! Maybe he will pull a rabbit out of his hat!",,-23,,"g8f6, c2c4, e7e6"
Qd2,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Bc5 c3 O-O d4 Ba7 Bg5 h6 Bh4 b5 dxe5 g5 exf6 gxh4 e5 bxa4 Qc1 Kh7 Qc2+ Kh8 Ng5 hxg5 Qd1 Nxe5 Qh5+ Kg8 Qh6 Qxf6 Qxf6 Ng6 Qxg5 Rb8 c4 Rxb2 Nc3 Bb7 c5 d6 Rab1 a3 Na4 Rxb1 Rxb1 Be4 Rc1 Kg7,"At this point, I decide it's time to start going after his queenside pawns. My queen did her job on the kingside, now it's time to shift for the other wing.",375,-361,-736.0,"g7h7, a4c3, e4f5"
e4,,"Hey hey all, just wanted to save this game. I’m usually a 1500-1700 player and haven’t played in quite some time. The reason I wanted to save this game because it was vs a 2022 rated player. I don’t think I had a bishop’s opening go this smooth against someone that highly rated before.",,-38,,"e7e5, g1f3"
O-O,b4 e5 e3 Bd6 d4 f6 c4 Ne7 dxe5 fxe5 a4,Castle,137,405,268.0,"c4c5, d6c5, b4c5"
O-O,d4 Nf6 Bf4 c5 e3 Nd5 Ne2 Nxf4 exf4 g6 dxc5 Qa5+ Nbc3 Qxc5 a3 Bg7 Rb1 O-O Qd5 Na6 Qxc5 Nxc5 g3 b6 Bg2 Bb7 Bxb7 Nxb7,White's rooks are connected. Now the middle game has begun.,-76,65,141.0,"f8c8, f1c1"
a3,e4 e5 Nf3 Nf6 Nc3 Nc6 d4 exd4 Nd5 Nb4 Nxf6+ Qxf6,pushing away the knight from an aggressive spot (anything on your side of the board is an aggressive placement). If you let enemy pieces stay idle on your side of the board they can become centerpieces of an attack. Best to shoo them away.,-24,21,45.0,b4c6
b3,Nf3 Nc6 g3 d5 e3 Nf6 Bg2 e5 O-O Bc5,Gawain begins his quest,25,188,163.0,"e5e4, f3e1, h7h5"
Nxf2,e4 c5 Nf3 d6 c3 Nf6 Be2 Nc6 d4 Nxe4 d5,"Since he is going to lose the knight anyway, he takes a pawn.",-241,361,602.0,"e1f2, c6b8, h1e1"
e5,e4,Same,-33,28,61.0,"g1f3, b8c6, f1b5"
